Card Number,Card Name,Suit,Arcana,Numerical Value,Element,Astrological Association,Keywords,Upright Meaning,Reversed Meaning,Symbolism,Affirmation,Traditional Interpretation,Modern Interpretation,Mythological Connection,Numerology,Chakra Association,Rider-Waite Description,Alternative Deck Descriptions,Card Image Description
50,Ace of Swords,Swords,Minor,1,Air,"Gemini, Libra, Aquarius","Clarity, truth, intellect","New beginnings in clarity, truth, and intellectual understanding.","Confusion, miscommunication, and mental blocks.","Sword (clarity), crown (victory), clouds (revelation)","""I seek and embrace clarity, truth, and intellectual understanding.""","Representing a breakthrough in thought, clarity, and the power of the intellect.",Emphasizing the importance of clear communication and the pursuit of truth.,"Linked to Excalibur, the sword of King Arthur, symbolizing divine clarity and truth.","The Ace signifies new beginnings, potential, and the purest form of the element.",Throat Chakra,"Depicts a hand emerging from a cloud, holding a sword crowned with a wreath, symbolizing clarity and truth.","In some decks, the Ace of Swords is shown as a sword piercing through clouds, symbolizing the emergence of truth.","A hand emerging from a cloud, holding a sword crowned with a wreath, symbolizing clarity, truth, and intellect."
51,Two of Swords,Swords,Minor,2,Air,Moon in Libra,"Decision, balance, stalemate","Indecision, the need for balance, and facing a stalemate.","Confusion, information overload, and avoidance.","Two swords (decisions), blindfold (unawareness), water (emotions)","""I seek balance and clarity in my decisions, embracing all information.""",Representing the challenge of making a difficult decision and finding balance.,Emphasizing the importance of considering all options and seeking clarity before making decisions.,"Associated with the Greek goddess Athena, who represents wisdom and strategic decision-making.","The number 2 signifies balance, duality, and the need to make choices.",Third Eye Chakra,"Depicts a blindfolded figure seated with arms crossed, holding a sword in each hand, with water in the background.","In some decks, the Two of Swords is shown as a figure in a state of contemplation, weighing decisions.","A blindfolded figure seated with arms crossed, holding a sword in each hand, with water in the background, symbolizing decision and balance."
52,Three of Swords,Swords,Minor,3,Air,Saturn in Libra,"Heartbreak, sorrow, betrayal","Heartbreak, sorrow, and the pain of betrayal.","Healing, recovery, and moving past grief.","Heart (emotion), three swords (pain), rain (tears)","""I acknowledge my pain and embrace the process of healing and recovery.""",Representing the deep emotional pain and the experience of heartbreak or betrayal.,Emphasizing the importance of acknowledging pain and allowing oneself to heal.,"Linked to the myth of Medusa, whose tragic story involves themes of betrayal and sorrow.","The number 3 signifies growth, expansion, and the challenges that come with emotional experiences.",Heart Chakra,"Depicts a heart pierced by three swords, with rain and storm clouds in the background.","In some decks, the Three of Swords is shown as a symbol of emotional pain and the need for healing.","A heart pierced by three swords, with rain and storm clouds in the background, symbolizing heartbreak and sorrow."
53,Four of Swords,Swords,Minor,4,Air,Jupiter in Libra,"Rest, recovery, contemplation","Rest, recovery, and the need for contemplation and solitude.","Restlessness, burnout, and the inability to relax.","Four swords (rest), figure (contemplation), church (solitude)","""I take time to rest and recover, embracing the peace of solitude.""",Representing the need for rest and recovery after a period of struggle or stress.,Emphasizing the importance of taking time for oneself and the benefits of contemplation and solitude.,"Associated with the story of King Arthur, who rested in Avalon to heal.","The number 4 signifies stability, rest, and the foundation needed for recovery.",Heart Chakra,"Depicts a figure lying on a tomb, hands in prayer, with three swords above and one below.","In some decks, the Four of Swords is shown as a figure in a state of rest and recovery, emphasizing the need for solitude.","A figure lying on a tomb, hands in prayer, with three swords above and one below, symbolizing rest and recovery."
54,Five of Swords,Swords,Minor,5,Air,Venus in Aquarius,"Conflict, defeat, competition","Conflict, defeat, and the harsh realities of competition.","Resolution, reconciliation, and avoiding unnecessary conflicts.","Five swords (conflict), figures (defeat), stormy sky (turmoil)","""I navigate conflicts with wisdom and seek resolution and harmony.""",Representing the challenges of conflict and the experience of defeat or victory at a cost.,Emphasizing the importance of resolving conflicts and avoiding unnecessary confrontations.,"Linked to the story of Achilles, whose victory came with great personal cost.","The number 5 signifies conflict, change, and the challenges of navigating competition.",Solar Plexus Chakra,"Depicts a figure holding three swords, with two swords on the ground, and two defeated figures walking away.","In some decks, the Five of Swords is shown as a scene of conflict and the aftermath of competition.","A figure holding three swords, with two swords on the ground, and two defeated figures walking away, symbolizing conflict and defeat."
55,Six of Swords,Swords,Minor,6,Air,Mercury in Aquarius,"Transition, moving on, journey","Transition, moving to calmer waters, and a journey towards healing.","Resistance to change, unfinished business, and emotional baggage.","Boat (journey), water (emotions), swords (challenges)","""I embrace transitions and move forward towards healing and peace.""",Representing the need to move away from difficulties and towards a more positive future.,Emphasizing the importance of transitions and the journey towards healing and peace.,"Linked to the journey of Odysseus, seeking to return home and find peace.","The number 6 signifies balance, transition, and the journey towards harmony.",Third Eye Chakra,"Depicts a figure steering a boat across calm waters, with six swords standing in the boat.","In some decks, the Six of Swords is shown as a scene of transition and moving away from difficulties.","A figure steering a boat across calm waters, with six swords standing in the boat, symbolizing transition and moving on."
56,Seven of Swords,Swords,Minor,7,Air,Moon in Aquarius,"Deception, strategy, cunning","Deception, strategy, and using cunning to achieve goals.","Confession, coming clean, and facing consequences.","Swords (strategy), sneaky figure (deception), camp (target)","""I use my intellect and strategy wisely, avoiding deceit and embracing truth.""",Representing the need for strategy and caution to achieve one's goals.,Emphasizing the importance of using intellect and strategy wisely and avoiding deceit.,"Associated with the cunning and strategic mind of Hermes, the trickster god.","The number 7 signifies introspection, strategy, and the quest for knowledge.",Throat Chakra,"Depicts a figure sneaking away from a camp with five swords, leaving two swords behind.","In some decks, the Seven of Swords is shown as a figure or scene representing cunning and strategic planning.","A figure sneaking away from a camp with five swords, leaving two swords behind, symbolizing deception and strategy."
57,Eight of Swords,Swords,Minor,8,Air,Jupiter in Gemini,"Restriction, limitation, entrapment","Feeling trapped, restricted, and limited by circumstances.","Finding freedom, overcoming limitations, and taking control.","Swords (restriction), bound figure (entrapment), blindfold (unawareness)","""I recognize my limitations and take steps to free myself and regain control.""",Representing the feeling of being trapped and the need to find a way to break free.,Emphasizing the importance of recognizing self-imposed limitations and taking steps to overcome them.,"Linked to the story of Persephone, who was trapped in the underworld and later freed.","The number 8 signifies power, restriction, and the challenges of overcoming limitations.",Solar Plexus Chakra,"Depicts a blindfolded and bound figure surrounded by eight swords, symbolizing restriction and entrapment.","In some decks, the Eight of Swords is shown as a figure or scene representing the feeling of being trapped and the need for liberation.","A blindfolded and bound figure surrounded by eight swords, symbolizing restriction and entrapment."
58,Nine of Swords,Swords,Minor,9,Air,Mars in Gemini,"Anxiety, worry, nightmares","Anxiety, worry, and the mental anguish of nightmares.","Overcoming fear, finding hope, and letting go of anxiety.","Swords (worry), figure in bed (nightmares), hands on face (anguish)","""I confront my fears and anxieties, finding hope and peace within.""",Representing the mental anguish and anxiety that comes from worry and nightmares.,Emphasizing the importance of confronting fears and finding ways to overcome anxiety.,"Associated with the myth of Prometheus, who suffered nightly torment for his actions.","The number 9 signifies completion, intensity, and the challenges of mental anguish.",Third Eye Chakra,"Depicts a figure sitting up in bed, hands on face, with nine swords hanging on the wall behind them.","In some decks, the Nine of Swords is shown as a figure or scene representing mental anguish and the torment of anxiety.","A figure sitting up in bed, hands on face, with nine swords hanging on the wall behind them, symbolizing anxiety and worry."
59,Ten of Swords,Swords,Minor,10,Air,Sun in Gemini,"Betrayal, defeat, endings","Betrayal, defeat, and the painful endings that bring new beginnings.","Recovery, regeneration, and the opportunity for new starts.","Ten swords (defeat), figure on ground (betrayal), dark sky (endings)","""I accept the endings in my life and embrace the opportunities for new beginnings.""",Representing the finality of defeat and the pain of betrayal.,Emphasizing the importance of accepting endings and the potential for new beginnings.,"Linked to the story of Julius Caesar, who was betrayed by those he trusted.","The number 10 signifies completion, finality, and the transition to new beginnings.",Root Chakra,"Depicts a figure lying face down with ten swords stabbed into their back, under a dark sky.","In some decks, the Ten of Swords is shown as a figure or scene representing the finality of betrayal and the opportunity for rebirth.","A figure lying face down with ten swords stabbed into their back, under a dark sky, symbolizing betrayal and endings."
60,Page of Swords,Swords,Minor,11,Air,Earth of Air,"Curiosity, vigilance, communication","Curiosity, keen intellect, and a vigilant approach to communication and learning.","Gossip, hasty decisions, and lack of planning.","Sword (intellect), wind (change), young figure (curiosity)","""I embrace my curiosity and communicate with clarity and vigilance.""","Representing the thirst for knowledge, communication, and the eagerness to explore new ideas.",Emphasizing the importance of staying curious and vigilant in communication and learning.,"Linked to Hermes, the messenger god known for his swiftness and intelligence.","The Page signifies new beginnings, intellectual curiosity, and the exploration of new ideas.",Throat Chakra,"Depicts a young figure standing with a sword, looking over their shoulder as if ready for action.","In some decks, the Page of Swords is shown as a youthful figure or scene filled with symbols of curiosity and readiness.","A young figure standing with a sword, looking over their shoulder as if ready for action, symbolizing curiosity and vigilance."
61,Knight of Swords,Swords,Minor,12,Air,Air of Air,"Action, determination, swift movement","Swift action, determination, and the pursuit of goals with relentless energy.","Impulsiveness, recklessness, and a lack of consideration for consequences.","Knight (action), horse (speed), sword (determination)","""I pursue my goals with determination and mindful consideration of my actions.""",Representing the drive to take swift and decisive action towards one’s goals.,Emphasizing the importance of acting with determination while considering the consequences.,"Associated with the heroic quests of figures like Perseus, known for their swift and decisive actions.","The Knight signifies action, speed, and the pursuit of goals with clarity and focus.",Solar Plexus Chakra,"Depicts a knight charging forward on a galloping horse, holding a sword aloft, moving with great speed and determination.","In some decks, the Knight of Swords is shown as a figure in action, charging forward with great determination.","A knight charging forward on a galloping horse, holding a sword aloft, symbolizing swift action and determination."
62,Queen of Swords,Swords,Minor,13,Air,Water of Air,"Intellect, independence, clarity","Clear thinking, independence, and the ability to communicate with sharp intellect.","Coldness, overly critical nature, and isolation.","Throne (authority), sword (intellect), clouds (clarity)","""I embrace my intellect and independence, communicating with clarity and wisdom.""",Representing the strength of intellect and the ability to communicate with clarity and authority.,Emphasizing the importance of clear thinking and independence in decision-making and communication.,"Linked to wise and independent figures like Athena, the goddess of wisdom and warfare.","The Queen signifies mastery of intellect, independence, and the clear expression of ideas.",Throat Chakra,"Depicts a queen seated on a throne, holding a sword upright, with an expression of calm clarity and authority.","In some decks, the Queen of Swords is shown as a serene and authoritative figure, embodying clear intellect and independence.","A queen seated on a throne, holding a sword upright, with an expression of calm clarity and authority, symbolizing intellect and independence."
63,King of Swords,Swords,Minor,14,Air,Fire of Air,"Authority, judgment, logic","Authority, clear judgment, and the power of logic and reason.","Manipulation, misuse of power, and unethical decisions.","Throne (authority), sword (logic), clouds (judgment)","""I exercise my authority and judgment with clarity and fairness.""","Representing the mastery of logic and reason, and the fair exercise of authority.",Emphasizing the importance of clear judgment and ethical use of power.,"Associated with wise and just rulers like Solomon, known for their fair and logical decisions.","The King signifies mastery of judgment, authority, and the application of logical principles.",Third Eye Chakra,"Depicts a king seated on a throne, holding a sword upright, with a look of stern judgment and authority.","In some decks, the King of Swords is shown as a figure of authority and clear judgment, embodying the power of logic and reason.","A king seated on a throne, holding a sword upright, with a look of stern judgment and authority, symbolizing logic and clear judgment."
64,Ace of Pentacles,Pentacles,Minor,1,Earth,"Taurus, Virgo, Capricorn","Prosperity, opportunity, new beginnings","New beginnings in prosperity, material success, and the opportunity for growth.","Missed opportunities, financial delays, and lack of planning.","Pentacle (prosperity), hand (opportunity), garden (growth)","""I welcome new opportunities for prosperity and embrace the growth they bring.""",Representing the start of new ventures in material success and the opportunities for growth and prosperity.,Emphasizing the importance of seizing new opportunities for financial and material well-being.,"Linked to Demeter, the goddess of the harvest, symbolizing abundance and growth.","The Ace signifies new beginnings, potential, and the purest form of the element.",Root Chakra,"Depicts a hand emerging from a cloud, holding a pentacle over a lush garden, symbolizing new opportunities for prosperity.","In some decks, the Ace of Pentacles is shown as a symbol of material success and the potential for growth and abundance.","A hand emerging from a cloud, holding a pentacle over a lush garden, symbolizing new opportunities for prosperity and growth."
65,Two of Pentacles,Pentacles,Minor,2,Earth,Jupiter in Capricorn,"Balance, adaptability, multitasking","Balance, adaptability, and the ability to multitask.","Overwhelm, imbalance, and difficulty managing responsibilities.","Two pentacles (balance), infinity symbol (continuity), waves (change)","""I balance my responsibilities with grace and adapt to changing circumstances.""",Representing the need to balance multiple aspects of life and remain adaptable.,Emphasizing the importance of maintaining balance and being flexible in managing responsibilities.,"Linked to the story of the juggler, symbolizing balance and adaptability.","The number 2 signifies balance, duality, and the ability to adapt.",Root Chakra,"Depicts a figure juggling two pentacles with an infinity symbol around them, standing by turbulent waters.","In some decks, the Two of Pentacles is shown as a figure managing multiple tasks or balancing various aspects of life.","A figure juggling two pentacles with an infinity symbol around them, standing by turbulent waters, symbolizing balance and adaptability."
66,Three of Pentacles,Pentacles,Minor,3,Earth,Mars in Capricorn,"Collaboration, skill, teamwork","Collaboration, skillful work, and the importance of teamwork.","Lack of teamwork, poor workmanship, and conflicts in collaboration.","Three pentacles (collaboration), figures (teamwork), cathedral (skill)","""I value collaboration and contribute my skills to achieve common goals.""",Representing the value of working together and using one's skills in collaboration.,Emphasizing the importance of teamwork and the benefits of combining skills and efforts.,"Associated with the craftsmanship of Daedalus, symbolizing skill and collaboration.","The number 3 signifies growth, creativity, and the power of teamwork.",Solar Plexus Chakra,"Depicts three figures working together on the construction of a cathedral, symbolizing collaboration and skill.","In some decks, the Three of Pentacles is shown as a scene of teamwork and the application of skills towards a common goal.","Three figures working together on the construction of a cathedral, symbolizing collaboration, skill, and teamwork."
67,Four of Pentacles,Pentacles,Minor,4,Earth,Sun in Capricorn,"Control, stability, security","Control, stability, and a focus on security and material wealth.","Greed, possessiveness, and fear of loss.","Four pentacles (control), figure (stability), city (security)","""I create stability and security in my life while remaining open and generous.""",Representing the desire for stability and control over material resources.,Emphasizing the importance of finding balance between security and generosity.,"Linked to King Midas, whose touch turned everything to gold, symbolizing the desire for wealth and its consequences.","The number 4 signifies stability, structure, and the foundations of security.",Root Chakra,"Depicts a figure holding tightly to four pentacles, with one at their feet, one in their arms, and two above their head.","In some decks, the Four of Pentacles is shown as a figure or scene representing control, stability, and material security.","A figure holding tightly to four pentacles, with one at their feet, one in their arms, and two above their head, symbolizing control and security."
68,Five of Pentacles,Pentacles,Minor,5,Earth,Mercury in Taurus,"Hardship, loss, insecurity","Hardship, financial loss, and a sense of insecurity and struggle.","Recovery, finding support, and overcoming adversity.","Five pentacles (hardship), figures (struggle), church (hope)","""I find strength and support in difficult times, overcoming adversity with resilience.""",Representing the challenges of financial hardship and the struggle to find security.,Emphasizing the importance of seeking support and finding resilience in the face of adversity.,"Associated with the story of the Prodigal Son, who faced hardship but found redemption and support.","The number 5 signifies conflict, change, and the challenges of overcoming adversity.",Root Chakra,"Depicts two figures walking through the snow outside a church, symbolizing hardship and the search for hope.","In some decks, the Five of Pentacles is shown as a scene of struggle and hardship, emphasizing the need for support and resilience.","Two figures walking through the snow outside a church, symbolizing hardship, loss, and the search for hope."
69,Six of Pentacles,Pentacles,Minor,6,Earth,Moon in Taurus,"Generosity, charity, balance","Generosity, charity, and the importance of balance in giving and receiving.","Selfishness, imbalance, and strings attached to generosity.","Six pentacles (generosity), scales (balance), figures (charity)","""I give and receive with balance and generosity, fostering harmony in my life.""",Representing the importance of generosity and the balance of giving and receiving.,Emphasizing the value of charitable actions and the need for balance in relationships and resources.,"Linked to the story of Robin Hood, who redistributed wealth to achieve balance and support for the needy.","The number 6 signifies harmony, balance, and the importance of generosity.",Heart Chakra,"Depicts a figure giving coins to two beggars, holding a scale in one hand, symbolizing balance and generosity.","In some decks, the Six of Pentacles is shown as a scene of charity and the balance of giving and receiving.","A figure giving coins to two beggars, holding a scale in one hand, symbolizing generosity, charity, and balance."
70,Seven of Pentacles,Pentacles,Minor,7,Earth,Saturn in Taurus,"Patience, assessment, reward","Patience, long-term planning, and assessing progress towards rewards.","Impatience, lack of reward, and short-sightedness.","Seven pentacles (growth), gardener (effort), plants (reward)","""I patiently assess my progress and trust in the rewards of my efforts.""",Representing the need for patience and the assessment of long-term efforts and their rewards.,Emphasizing the importance of evaluating progress and trusting in the value of long-term planning.,"Linked to the story of the Ant and the Grasshopper, symbolizing the rewards of hard work and patience.","The number 7 signifies reflection, assessment, and the pursuit of long-term goals.",Root Chakra,"Depicts a figure leaning on a hoe, looking at a bush of growing pentacles, symbolizing assessment and patience.","In some decks, the Seven of Pentacles is shown as a scene of growth and the assessment of effort and reward.","A figure leaning on a hoe, looking at a bush of growing pentacles, symbolizing patience and the assessment of progress."
71,Eight of Pentacles,Pentacles,Minor,8,Earth,Sun in Virgo,"Diligence, craftsmanship, skill development","Diligence, mastering skills, and the dedication to craftsmanship and improvement.","Lack of focus, poor quality work, and unfulfilled potential.","Eight pentacles (effort), craftsman (skill), tools (work)","""I dedicate myself to mastering my skills and achieving excellence through diligence.""",Representing the commitment to mastering one's craft and the pursuit of excellence.,"Emphasizing the value of hard work, skill development, and the dedication to improvement.","Associated with Hephaestus, the god of blacksmiths, known for his skill and craftsmanship.","The number 8 signifies diligence, skill, and the dedication to achieving mastery.",Solar Plexus Chakra,"Depicts a craftsman diligently working on a series of pentacles, symbolizing skill development and hard work.","In some decks, the Eight of Pentacles is shown as a figure or scene dedicated to craftsmanship and the pursuit of mastery.","A craftsman diligently working on a series of pentacles, symbolizing diligence, skill development, and the dedication to craftsmanship."
72,Nine of Pentacles,Pentacles,Minor,9,Earth,Venus in Virgo,"Self-sufficiency, luxury, financial independence","Self-sufficiency, enjoying the fruits of labor, and financial independence.","Financial dependence, lack of self-sufficiency, and overindulgence.","Nine pentacles (wealth), bird (independence), vineyard (luxury)","""I enjoy the abundance and independence I have cultivated through my efforts.""",Representing the joy of self-sufficiency and the luxury that comes from hard work and financial independence.,Emphasizing the importance of enjoying one's success and the benefits of financial independence.,Linked to the story of the self-sufficient and luxurious gardens of the Hesperides.,"The number 9 signifies fulfillment, abundance, and the culmination of efforts.",Root Chakra,"Depicts a figure standing in a lush vineyard, holding a bird, surrounded by nine pentacles, symbolizing luxury and self-sufficiency.","In some decks, the Nine of Pentacles is shown as a figure or scene enjoying the fruits of labor and financial independence.","A figure standing in a lush vineyard, holding a bird, surrounded by nine pentacles, symbolizing self-sufficiency, luxury, and financial independence."
73,Ten of Pentacles,Pentacles,Minor,10,Earth,Mercury in Virgo,"Wealth, legacy, family","Wealth, family legacy, and the stability and security of long-term success.","Financial instability, loss of legacy, and family conflicts.","Ten pentacles (wealth), family (legacy), castle (security)","""I create a lasting legacy of wealth, security, and family harmony.""",Representing the stability and security of long-term success and the legacy of wealth and family.,Emphasizing the importance of building a lasting legacy and ensuring the security and harmony of family life.,"Associated with the story of King Croesus, known for his immense wealth and the legacy he left behind.","The number 10 signifies completion, fulfillment, and the culmination of material success.",Root Chakra,"Depicts a scene of family and wealth, with a castle in the background and ten pentacles arranged around the scene.","In some decks, the Ten of Pentacles is shown as a scene representing wealth, family legacy, and long-term stability.","A scene of family and wealth, with a castle in the background and ten pentacles arranged around the scene, symbolizing wealth, legacy, and family harmony."
74,Page of Pentacles,Pentacles,Minor,11,Earth,Earth of Earth,"Ambition, opportunity, practicality","Ambition, the pursuit of opportunities, and a practical approach to achieving goals.","Lack of focus, missed opportunities, and impracticality.","Pentacle (opportunity), young figure (ambition), field (potential)","""I seize new opportunities with ambition and a practical mindset.""",Representing the ambition and practical approach needed to pursue new opportunities and achieve goals.,Emphasizing the importance of being practical and ambitious in the pursuit of new ventures.,"Linked to the youthful ambition and practicality of figures like Daedalus, who sought opportunities through skill and ingenuity.","The Page signifies new beginnings, ambition, and the practical pursuit of opportunities.",Root Chakra,"Depicts a young figure holding a pentacle, standing in a field, looking towards the horizon with ambition and focus.","In some decks, the Page of Pentacles is shown as a youthful figure or scene filled with symbols of ambition and opportunity.","A young figure holding a pentacle, standing in a field, looking towards the horizon with ambition and focus, symbolizing opportunity and practicality."
75,Knight of Pentacles,Pentacles,Minor,12,Earth,Air of Earth,"Diligence, reliability, routine","Diligence, reliability, and a methodical approach to achieving goals.","Laziness, stagnation, and a lack of progress.","Knight (action), horse (steadiness), pentacle (material focus)","""I approach my goals with diligence and reliability, embracing the value of routine.""",Representing the steady and reliable pursuit of goals through diligent effort and routine.,Emphasizing the importance of a methodical and consistent approach to achieving success.,Associated with the steady and reliable labor of figures like Hercules in his tasks.,"The Knight signifies action, steadiness, and the practical pursuit of material goals.",Root Chakra,"Depicts a knight on a steady horse, holding a pentacle, moving forward with diligence and focus.","In some decks, the Knight of Pentacles is shown as a figure or scene embodying steady progress and reliable effort.","A knight on a steady horse, holding a pentacle, moving forward with diligence and focus, symbolizing reliability and routine."
